date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2026-02-13,5182.345905,198.817423,0.0,5381.163328,-840.773611,5,3,2,151.972294,46.845129
2026-02-14,5381.163328,495.201555,0.0,5876.364883,-345.572056,2,2,0,495.201555,0.0
2026-02-15,5876.364883,172.3244,0.0,6048.689283,-173.247655,2,1,1,172.3244,0.0
2026-02-16,6048.689283,-128.562709,0.0,5920.126575,-301.810364,5,2,3,-180.099723,51.537015
2026-02-17,5920.126575,227.121911,0.0,6147.248486,-74.688453,5,3,2,173.607712,53.5142
2026-02-18,6147.248486,65.535634,0.0,6212.784119,-211.090548,5,2,3,180.268062,-114.732428
2026-02-19,6212.784119,-39.450481,0.0,6173.333639,-250.541029,4,2,2,-184.985647,145.535166
2026-02-20,6173.333639,-292.41483,0.0,5880.918808,-542.955859,5,1,4,-183.811009,-108.603821
2026-02-21,5880.918808,172.457944,0.0,6053.376752,-370.497915,2,1,1,172.457944,0.0
2026-02-22,6053.376752,177.515273,0.0,6230.892026,-192.982642,2,1,1,177.515273,0.0
2026-02-23,6230.892026,-295.141222,0.0,5935.750804,-488.123864,5,1,4,-185.52481,-109.616412
2026-02-24,5935.750804,-126.162242,0.0,5809.588561,-614.286106,5,2,3,-176.73698,50.574738
2026-02-25,5809.588561,314.746212,0.0,6124.334773,-299.539894,4,3,1,170.366185,144.380027
2026-02-26,6124.334773,-38.888837,0.0,6085.445936,-338.428732,4,2,2,-182.352068,143.46323
2026-02-27,6085.445936,-442.92004,0.0,5642.525896,-781.348772,5,0,5,-181.194153,-261.725887
2026-02-28,5642.525896,-168.006209,0.0,5474.519687,-949.35498,2,0,2,-168.006209,0.0
2026-03-01,5474.519687,-163.003824,0.0,5311.515864,-1112.358804,2,0,2,-163.003824,0.0
2026-03-02,5311.515864,-112.894354,0.0,5198.62151,-1225.253158,5,2,3,-158.150385,45.256031
2026-03-03,5198.62151,375.46563,0.0,5574.08714,-849.787527,5,3,2,478.403144,-102.937514
2026-03-04,5574.08714,77.396897,0.0,5651.484037,-772.390631,3,1,2,163.460105,-86.063209
2026-03-05,5651.484037,60.250303,0.0,5711.734341,-712.140327,5,2,3,165.729769,-105.479466
2026-03-06,5711.734341,219.127075,0.0,5930.861416,-493.013252,5,3,2,167.49661,51.630466
2026-03-07,5930.861416,173.922511,0.0,6104.783927,-319.090741,2,1,1,173.922511,0.0
2026-03-08,6104.783927,561.792741,0.0,6666.576667,0.0,2,2,0,561.792741,0.0
2026-03-09,6666.576667,71.072176,0.0,6737.648843,-124.425185,5,2,3,195.497361,-124.425185
2026-03-10,6737.648843,-319.14498,0.0,6418.503863,-443.570165,5,1,4,-200.613494,-118.531486
2026-03-11,6418.503863,267.503344,0.0,6686.007207,-176.066822,3,2,1,188.222626,79.280718
2026-03-12,6686.007207,-142.108671,0.0,6543.898535,-318.175493,5,2,3,-199.075865,56.967193
2026-03-13,6543.898535,69.764308,0.0,6613.662843,-248.411185,5,2,3,191.899825,-122.135517
2026-03-14,6613.662843,-78.222362,0.0,6535.440481,-326.633547,2,1,1,-78.222362,0.0
2026-03-15,6535.440481,191.651792,0.0,6727.092273,-134.981755,2,1,1,191.651792,0.0
2026-03-16,6727.092273,449.552385,0.0,7176.644658,0.0,5,4,1,197.271981,252.280404
2026-03-17,7176.644658,210.455105,0.0,7387.099763,-112.493905,2,1,1,210.455105,0.0
2026-03-18,7387.099763,-349.907789,0.0,7037.191974,-462.401694,5,1,4,-219.950895,-129.956893
2026-03-19,7037.191974,833.139151,0.0,7870.331124,0.0,4,4,0,647.597591,185.541559
2026-03-20,7870.331124,83.905366,0.0,7954.236491,-244.105637,5,2,3,230.79746,-146.892094
2026-03-21,7954.236491,-236.837392,0.0,7717.399099,-480.943028,2,0,2,-236.837392,0.0
2026-03-22,7717.399099,226.312729,0.0,7943.711828,-254.6303,2,1,1,226.312729,0.0
2026-03-23,7943.711828,-50.441677,0.0,7893.270151,-305.071977,4,2,2,-236.52402,186.082342
2026-03-24,7893.270151,726.378186,0.0,8619.648336,0.0,2,2,0,726.378186,0.0
