date,starting_balance,trading_pnl,withdrawal,ending_balance,drawdown,trade_count,wins,losses,btc_pnl,gold_pnl
2026-02-12,2732.976477,-44.556548,0.0,2688.419929,-2451.204924,5,1,4,80.144535,-124.701083
2026-02-13,2688.419929,103.13953,0.0,2791.55946,-2348.065394,5,3,2,78.837914,24.301616
2026-02-14,2791.55946,256.893259,0.0,3048.452719,-2091.172135,2,2,0,256.893259,0.0
2026-02-15,3048.452719,89.395876,0.0,3137.848595,-2001.776259,2,1,1,89.395876,0.0
2026-02-16,3137.848595,-66.69384,0.0,3071.154755,-2068.470099,5,2,3,-93.429442,26.735602
2026-02-17,3071.154755,117.82291,0.0,3188.977664,-1950.647189,5,3,2,90.061613,27.761296
2026-02-18,3188.977664,33.997596,0.0,3222.97526,-1916.649593,5,2,3,93.51677,-59.519174
2026-02-19,3222.97526,-20.465531,0.0,3202.50973,-1937.115124,4,2,2,-95.964088,75.498558
2026-02-20,3202.50973,-151.694594,0.0,3050.815136,-2088.809718,5,1,4,-95.354727,-56.339867
2026-02-21,3050.815136,89.465154,0.0,3140.28029,-1999.344564,2,1,1,89.465154,0.0
2026-02-22,3140.28029,92.088719,0.0,3232.369009,-1907.255844,2,1,1,92.088719,0.0
2026-02-23,3232.369009,-153.108951,0.0,3079.260059,-2060.364795,5,1,4,-96.243787,-56.865163
2026-02-24,3079.260059,-65.448562,0.0,3013.811497,-2125.813357,5,2,3,-91.684968,26.236406
2026-02-25,3013.811497,163.279334,0.0,3177.090831,-1962.534023,4,3,1,88.380022,74.899312
2026-02-26,3177.090831,-20.17417,0.0,3156.916661,-1982.708192,4,2,2,-94.597879,74.42371
2026-02-27,3156.916661,-229.771436,0.0,2927.145225,-2212.479629,5,0,5,-93.997194,-135.774243
2026-02-28,2927.145225,-87.155749,0.0,2839.989476,-2299.635378,2,0,2,-87.155749,0.0
2026-03-01,2839.989476,-54.785687,1000.0,1785.203789,-3354.421064,2,0,2,-54.785687,0.0
2026-03-02,1785.203789,-37.943863,0.0,1747.259927,-3392.364927,5,2,3,-53.154443,15.21058
2026-03-03,1747.259927,126.194232,0.0,1873.454159,-3266.170695,5,3,2,160.791595,-34.597363
